,Word_ID,Target,ClozeProbability,gptEntropy,gptSurprisal
0,QID1,are,0.4,9.425668093,3.446176529
1,QID2,now,0,6.993595385,5.010108948
2,QID3,rumblings,0,8.747738624,10.09391499
3,QID4,that,0.075,2.906251233,0.624832153
4,QID5,apple,0,9.667597463,4.913574219
5,QID6,might,0,4.220904503,2.729179382
6,QID7,soon,0,6.329451358,3.400306702
7,QID8,invade,0,6.503536325,10.48264313
8,QID9,the,0.475,6.147010786,0.925384521
9,QID10,smart,0,9.460793141,6.655677795
10,QID11,watch,0.05,2.641972201,4.137779236
11,QID12,space,0,1.630326565,3.602798462
12,QID13,though,0,6.232767528,3.979034424
13,QID14,the,0.051282051,6.206883451,2.359886169
14,QID15,company,0.2,8.524139164,1.925682068
15,QID16,is,0.125,4.55470047,2.339225769
16,QID17,maintaining,0,6.928790259,7.558731079
17,QID18,its,0.102564103,3.481087765,2.511428833
18,QID19,customary,0,8.640372607,9.711288452
19,QID20,silence,0.175,8.862858995,2.596168518
20,QID21,the,0.076923077,5.749548217,2.460540771
21,QID21,the,0.025641026,5.749548217,2.460540771
22,QID22,watch,0,7.742848811,5.681930542
23,QID23,does,0.025,6.494875967,6.272916317
24,QID24,have,0.275,6.668298456,2.088119507
25,QID25,a,0.2,4.653158474,1.012672424
26,QID26,microphone,0,8.882356324,7.879180908
27,QID27,or,0.4,4.316222103,2.326148987
28,QID28,speaker,0.1,6.468847424,2.566062927
29,QID29,but,0.6,4.277141454,1.264556885
30,QID30,you,0,5.924466612,4.187171936
31,QID31,can,0.7,1.989704952,0.29397583
32,QID32,use,0.2,6.597201516,2.790359497
33,QID33,it,0.4,4.487720107,1.556564331
34,QID34,to,0.475,2.773681503,0.46219632
35,QID35,control,0.025,7.451856917,4.425704956
36,QID36,the,0.2,5.074349146,1.158538818
37,QID37,music,0.05,8.594654803,4.069793701
38,QID38,on,0.45,5.32647124,3.245109558
39,QID39,your,0.775,2.554423917,0.619689941
40,QID40,phone,0.325,4.506262589,1.878616333
41,QID41,you,0,5.795203764,3.335418701
42,QID42,can,0.675,1.844227235,0.264526337
43,QID43,glance,0,5.883176329,8.77192688
44,QID44,at,0.975,3.295479273,0.934051514
45,QID45,the,0.575,5.159469551,1.341506958
46,QID46,watch,0.5,7.349056695,2.726615906
47,QID47,face,0.025,5.320119577,2.316894531
48,QID48,to,0.3,4.87592141,2.4400177
49,QID49,view,0,6.688676337,5.343780518
50,QID50,the,0.6,7.24994447,2.0157547
51,QID51,artist,0,8.342839869,7.621871948
52,QID52,and,0.475,4.600071557,3.074295044
53,QID53,title,0.15,7.626054705,5.790908813
54,QID54,of,0.875,5.387657508,1.775543213
