Word_Unique_ID,PredictionNumber,Accuracy
QID1,1,0
QID1,2,0
QID1,3,0
QID1,4,0
QID1,5,1
QID1,6,1
QID1,7,1
QID1,8,1
QID1,9,1
QID1,10,1
QID2,1,0
QID2,2,0
QID2,3,0
QID2,4,0
QID2,5,0
QID2,6,0
QID2,7,0
QID2,8,0
QID2,9,0
QID2,10,0
QID3,1,0
QID3,2,0
QID3,3,0
QID3,4,0
QID3,5,0
QID3,6,0
QID3,7,0
QID3,8,0
QID3,9,0
QID3,10,0
QID4,1,1
QID4,2,1
QID4,3,1
QID4,4,1
QID4,5,1
QID4,6,1
QID4,7,1
QID4,8,1
QID4,9,1
QID4,10,1
QID5,1,0
QID5,2,0
QID5,3,0
QID5,4,0
QID5,5,0
QID5,6,0
QID5,7,0
QID5,8,0
QID5,9,0
QID5,10,0
QID6,1,0
QID6,2,0
QID6,3,0
QID6,4,0
QID6,5,1
QID6,6,1
QID6,7,1
QID6,8,1
QID6,9,1
QID6,10,1
QID7,1,0
QID7,2,0
QID7,3,1
QID7,4,1
QID7,5,1
QID7,6,1
QID7,7,1
QID7,8,1
QID7,9,1
QID7,10,1
QID8,1,0
QID8,2,0
QID8,3,0
QID8,4,0
QID8,5,0
QID8,6,0
QID8,7,0
QID8,8,0
QID8,9,0
QID8,10,0
QID9,1,1
QID9,2,1
QID9,3,1
QID9,4,1
QID9,5,1
QID9,6,1
QID9,7,1
QID9,8,1
QID9,9,1
QID9,10,1
QID10,1,0
QID10,2,0
QID10,3,0
QID10,4,0
QID10,5,0
QID10,6,0
QID10,7,0
QID10,8,0
QID10,9,0
QID10,10,0
QID11,1,1
QID11,2,1
QID11,3,1
QID11,4,1
QID11,5,1
QID11,6,1
QID11,7,1
QID11,8,1
QID11,9,1
QID11,10,1
QID12,1,0
QID12,2,0
QID12,3,0
QID12,4,1
QID12,5,1
QID12,6,1
QID12,7,1
QID12,8,1
QID12,9,1
QID12,10,1
QID13,1,0
QID13,2,0
QID13,3,0
QID13,4,0
QID13,5,0
QID13,6,0
QID13,7,1
QID13,8,1
QID13,9,1
QID13,10,1
QID14,1,0
QID14,2,1
QID14,3,1
QID14,4,1
QID14,5,1
QID14,6,1
QID14,7,1
QID14,8,1
QID14,9,1
QID14,10,1
QID15,1,1
QID15,2,1
QID15,3,1
QID15,4,1
QID15,5,1
QID15,6,1
QID15,7,1
QID15,8,1
QID15,9,1
QID15,10,1
QID16,1,0
QID16,2,0
QID16,3,1
QID16,4,1
QID16,5,1
QID16,6,1
QID16,7,1
QID16,8,1
QID16,9,1
QID16,10,1
QID17,1,0
QID17,2,0
QID17,3,0
QID17,4,0
QID17,5,0
QID17,6,0
QID17,7,0
QID17,8,0
QID17,9,0
QID17,10,0
QID18,1,0
QID18,2,0
QID18,3,1
QID18,4,1
QID18,5,1
QID18,6,1
QID18,7,1
QID18,8,1
QID18,9,1
QID18,10,1
QID19,1,0
QID19,2,0
QID19,3,0
QID19,4,0
QID19,5,0
QID19,6,0
QID19,7,0
QID19,8,0
QID19,9,0
QID19,10,0
QID20,1,0
QID20,2,1
QID20,3,1
QID20,4,1
QID20,5,1
QID20,6,1
QID20,7,1
QID20,8,1
QID20,9,1
QID20,10,1
QID21,1,0
QID21,2,0
QID21,3,0
QID21,4,0
QID21,5,0
QID21,6,0
QID21,7,0
QID21,8,0
QID21,9,0
QID21,10,0
QID21,1,0
QID21,2,0
QID21,3,0
QID21,4,0
QID21,5,0
QID21,6,0
QID21,7,0
