WordID,SentenceNr,WordNr,Target,Surprisal,Entropy
0,1,2,are,4.971798492384296,9.425661
1,1,3,now,7.228032150150528,6.9936657
2,1,4,rumblings,12.978483185812426,8.747832
3,1,5,that,0.9014202474741552,2.9062774
4,1,6,Apple,7.0887905346199425,9.667637
5,1,7,might,3.9373490528875994,4.2209516
6,1,8,soon,4.90557706357231,6.329519
7,1,9,invade,15.123242233422182,6.5036135
8,1,10,the,1.3350377147873171,6.147093
9,1,11,smart,9.60210240705325,9.460868
10,1,12,watch,5.969518582770112,2.6420045
11,1,13,space,5.197712714697126,1.6303259
12,1,14,though,13.2712093291116,3.6598632
13,1,15,the,3.9993332053955286,6.1879964
14,1,16,company,2.430589138556264,8.7094345
15,1,17,is,2.6385202630295925,4.6902366
16,1,18,maintaining,11.248000822911067,7.341921
17,1,19,its,3.5382949993652666,4.5131755
18,1,20,customary,13.570965960476972,8.670687
19,1,21,silence,3.763337295785421,9.141239
20,1,22,The,15.99331968973566,3.588066
21,1,23,watch,7.536402665055975,9.684377
22,1,24,doesn't,8.337924937015705,6.6661334
23,1,25,have,3.1975330373077484,6.7587447
24,1,26,a,1.4682307920989457,4.7708306
25,1,27,microphone,10.075661549962867,8.906864
26,1,28,or,3.5980878489077175,5.421638
27,1,29,speaker,3.8901272711293986,6.707144
28,1,30,but,3.447995044849941,5.869082
29,1,31,you,5.999348504859772,6.069894
30,1,32,can,0.4366823297353347,2.0874963
31,1,33,use,4.578951434491179,6.4738693
32,1,34,it,2.15196930880433,4.5448227
33,1,35,to,0.6856228201072835,2.8757913
34,1,36,control,6.5021205166863725,7.4121084
35,1,37,the,1.4653052868937178,4.675372
36,1,38,music,5.707311306916892,8.596593
37,1,39,on,4.682454895590852,5.97404
38,1,40,your,0.9986887124444505,2.6358662
39,1,41,phone,2.5598065443968845,4.589499
40,1,42,You,7.593362375942917,5.1860085
41,1,43,can,0.5158502422646857,2.441477
42,1,44,glance,13.118678569120998,6.6532636
43,1,45,at,1.3343051835709592,3.2937315
44,1,46,the,1.7567122468269187,4.6808553
45,1,47,watch,3.5812120097471025,7.043182
46,1,48,face,4.173493601341612,5.8243256
47,1,49,to,3.322272509755727,5.7532854
48,1,50,view,7.299370319683752,6.7075043
49,1,51,the,2.959384352975119,7.4397078
50,1,52,artist,12.475205679160668,8.170386
51,1,53,and,4.569347615343603,5.658736
